weekday,time,count,sum,average
3,57000,5,452,90
3,57600,2,101,50
3,58200,5,381,76
3,58800,3,236,78
3,59400,5,288,57
3,60000,2,102,51
3,60600,6,337,56
3,61200,5,284,56
3,61800,4,234,58
3,62400,4,365,91
3,63000,7,458,65
3,63600,5,317,63
3,64200,7,569,81
3,64800,5,377,75
3,65400,4,271,67
3,66000,1,91,91
3,66600,5,339,67
3,67200,5,371,74
3,67800,7,521,74
3,68400,5,354,70
3,69000,5,328,65
3,69600,5,312,62
3,70200,5,299,59
3,70800,5,300,60
3,71400,5,319,63
3,72000,1,59,59
3,72600,4,244,61
3,73200,5,282,56
3,73800,2,114,57
3,74400,3,146,48
3,75000,3,195,65
3,75600,2,94,47
3,76200,2,136,68
3,76800,4,148,37
3,77400,3,144,48
3,78000,3,44,14
3,78600,5,100,20
3,79200,3,63,21
4,21600,9,125,13
4,22200,5,182,36
4,22800,5,213,42
4,23400,3,132,44
4,24000,7,365,52
4,24600,5,273,54
4,25200,5,271,54
4,25800,5,249,49
4,26400,3,143,47
4,27000,5,225,45
4,27600,6,245,40
4,28200,6,208,34
4,28800,0,0,0
4,29400,4,346,86
4,30000,0,0,0
4,30600,5,481,96
4,31200,0,0,0
4,31800,1,96,96
4,32400,4,368,92
4,33000,0,0,0
4,33600,1,89,89
4,34200,0,0,0
4,34800,4,232,58
4,35400,0,0,0
4,36000,0,0,0
4,36600,1,18,18
4,37200,1,5,5
4,37800,3,27,9
4,38400,0,0,0
4,39000,1,52,52
4,39600,2,83,41
4,40200,1,67,67
4,40800,2,111,55
4,41400,1,41,41
4,42000,3,181,60
4,42600,2,96,48
4,43200,4,190,47
4,43800,2,123,61
4,44400,2,85,42
4,45000,2,113,56
4,45600,4,188,47
4,46200,2,94,47
4,46800,3,145,48
4,47400,4,188,47
4,48000,2,104,52
4,48600,5,206,41
4,49200,3,132,44
4,49800,5,207,41
4,50400,5,367,73
4,51000,5,451,90
4,51600,0,0,0
4,52200,5,478,95
4,52800,5,500,100
4,53400,4,400,100
4,54000,6,631,105
4,54600,4,446,111
4,55200,2,184,92
4,55800,8,775,96
4,56400,5,451,90
4,57000,5,410,82
4,57600,5,351,70
4,58200,4,263,65
4,58800,1,45,45
4,59400,5,255,51
4,60000,3,148,49
4,60600,6,324,54
4,61200,5,270,54
4,61800,3,181,60
4,62400,5,262,52
4,63000,6,304,50
4,63600,5,281,56
4,64200,6,331,55
4,64800,3,169,56
4,65400,7,395,56
4,66000,1,55,55
4,66600,5,280,56
4,67200,5,298,59
4,67800,6,389,64
4,68400,4,240,60
4,69000,4,248,62
4,69600,6,338,56
4,70200,6,354,59
4,70800,5,298,59
4,71400,5,283,56
4,72000,2,120,60
4,72600,5,309,61
4,73200,3,175,58
